PythonO;PythonD;OmniO;OmniD;Cfill;Cempty;;;;;
1001;1002;1;7;5389;4212;;;;;
1001;2616;1;9;6899;6035;;;;;
1001;4002;1;9;6899;6035;;;;;
1002;1001;7;1;5389;4212;;;;;
1002;1003;7;6;3588;3749;;;;;
1002;2613;7;11;3502;4130;;;;;
1002;4000;1;9;6899;6035;;;;;
1003;1002;6;7;3588;3749;;;;;
1003;1004;6;5;3830;4337;;;;;
1003;4000;6;14;3941;4791;;;;;
1004;1003;5;6;3830;4337;;;;;
1004;2625;5;16;5143;6042;;;;;
1004;4006;5;14;5463;5725;;;;;
1005;1006;10;2;3583;3542;;;;;
1005;2629;3;23;3336;4235;;;;;
1006;1005;2;10;3583;3542;;;;;
1006;1007;10;2;3583;3542;;;;;
1006;2628;2;10;3583;3542;;;;;
1006;2629;2;10;3583;3542;;;;;
1007;1006;2;10;3583;3542;;;;;
1007;2616;9;1;6899;6035;;;;;
1007;4003;2;10;3583;3542;;;;;
2611;3000;11;12;4787;4307;;;;;
2611;4001;12;11;4787;4307;;;;;
2611;4002;10;9;5478;5551;;;;;
2611;4003;11;12;4787;4307;;;;;
2611;4004;11;12;4787;4307;;;;;
2612;2616;10;2;3583;3542;;;;;
2612;4002;10;11;4562;4321;;;;;
2612;4003;9;10;5478;5551;;;;;
2613;1002;11;7;3502;4130;;;;;
2613;2614;12;13;6570;6404;;;;;
2613;3000;11;12;4787;4307;;;;;
2613;4000;11;13;4477;4512;;;;;
2613;4001;13;11;4477;4512;;;;;
2613;4005;11;13;4477;4512;;;;;
2614;2613;13;12;6570;6404;;;;;
2614;4000;14;13;5917;5060;;;;;
2614;4006;14;16;5375;5183;;;;;
2616;1001;9;1;6899;6035;;;;;
2616;1007;1;9;6899;6035;;;;;
2616;2612;2;10;3583;3542;;;;;
2622;2623;20;21;3921;3617;;;;;
2622;2625;20;16;5018;4954;;;;;
2622;2626;20;4;4927;4813;;;;;
2623;2622;21;20;3921;3617;;;;;
2623;2624;21;17;3789;3679;;;;;
2623;2626;21;4;3324;3844;;;;;
2623;2627;21;22;2717;2680;;;;;
2623;2629;22;23;2806;2720;;;;;
2624;2623;17;21;3789;3679;;;;;
2624;2625;17;16;5522;5912;;;;;
2624;4005;17;16;5522;5912;;;;;
2624;4007;17;18;3790;4349;;;;;
2625;1004;16;5;5143;6042;;;;;
2625;2622;16;20;5018;4954;;;;;
2625;2624;16;17;5522;5912;;;;;
2625;4006;16;14;5375;5183;;;;;
2626;2622;4;20;4927;4813;;;;;
2626;2623;4;21;3324;3844;;;;;
2627;2623;22;21;2717;2680;;;;;
2627;2629;22;23;2806;2720;;;;;
2627;4007;18;17;3790;4349;;;;;
2627;4008;22;18;2971;2641;;;;;
2628;1006;10;2;3583;3542;;;;;
2628;2629;19;23;4858;3940;;;;;
2628;4003;15;10;6099;6730;;;;;
2628;4008;15;10;6099;6730;;;;;
2629;1005;23;3;3336;4235;;;;;
2629;1006;10;2;3583;3542;;;;;
2629;2623;23;22;2806;2720;;;;;
2629;2627;23;22;2806;2720;;;;;
2629;2628;23;19;4858;3940;;;;;
2629;4008;23;3;3336;4235;;;;;
3000;2611;12;11;4787;4307;;;;;
3000;2613;12;11;4787;4307;;;;;
3000;4004;13;12;6570;6404;;;;;
3000;4005;12;13;6570;6404;;;;;
3000;4007;18;17;3790;4349;;;;;
4000;1002;9;1;6899;6035;;;;;
4000;1003;14;6;3941;4791;;;;;
4000;2613;13;11;4477;4512;;;;;
4000;2614;13;14;5917;5060;;;;;
4000;4001;13;12;6570;6404;;;;;
4001;2611;11;12;4787;4307;;;;;
4001;2613;11;13;4477;4512;;;;;
4001;4000;12;13;6570;6404;;;;;
4001;4002;11;10;4562;4321;;;;;
4002;1001;9;1;6899;6035;;;;;
4002;2611;9;10;5478;5551;;;;;
4002;2612;11;10;4562;4321;;;;;
4002;4001;10;11;4562;4321;;;;;
4003;1007;10;2;3583;3542;;;;;
4003;2611;12;11;4787;4307;;;;;
4003;2612;10;9;5478;5551;;;;;
4003;2628;10;15;6099;6730;;;;;
4003;4004;15;10;6099;6730;;;;;
4004;2611;12;11;4787;4307;;;;;
4004;3000;12;13;6570;6404;;;;;
4004;4003;10;15;6099;6730;;;;;
4004;4008;10;15;6099;6730;;;;;
4005;2613;13;11;4477;4512;;;;;
4005;2624;16;17;5522;5912;;;;;
4005;3000;13;12;6570;6404;;;;;
4005;4006;13;14;5917;5060;;;;;
4006;1004;14;5;5463;5725;;;;;
4006;2614;16;14;5375;5183;;;;;
4006;2625;14;16;5375;5183;;;;;
4006;4005;14;13;5917;5060;;;;;
4007;2624;18;17;3790;4349;;;;;
4007;2627;17;18;3790;4349;;;;;
4007;3000;17;18;3790;4349;;;;;
4008;2627;18;22;2971;2641;;;;;
4008;2628;10;15;6099;6730;;;;;
4008;2629;3;23;3336;4235;;;;;
4008;4004;15;10;6099;6730;;;;;